gt_feature_id,partition
Repair_Technique,organising
Domain,organising
Formalism,organising
Logical,attested
Object_oriented,attested
Relational,organising
Graph,attested
Meta_model_Independent,attested
Technical_Space,organising
XML,attested
MDA,attested
EMF,attested
Other,attested
Bounded,attested
Multi_model,attested
Controlled_Update,attested
Pairwise,attested
Constraint,organising
Specification,organising
Specification_Mode,organising
Hard_Coded,attested
User_Definable,organising
Repair_Hints,attested
Distinguished,attested
Violation_Selection,organising
Kind,organising
Intra_model,attested
Inter_model,attested
Logical_Kind,organising
Shape,organising
Logical_Shape,organising
Pattern_Matching,attested
Traceability,attested
Consistency_Relation,attested
Transformation,organising
Update,organising
State_based,attested
Delta_based,attested
Frame,organising
Edit_Sequence,organising
Pre_state,attested
History,attested
Check,organising
Mechanism,organising
External,organising
User,attested
Internal,organising
Checkonly,attested
Reporting,organising
Simple,organising
Boolean,attested
Number,attested
Violations,attested
Goal,attested
Composite,attested
Repair,organising
Core,organising
Human_centric,organising
Rule_based,attested
Generative,attested
Syntactic,attested
Search_based,attested
Off_the_shelf_Solver,attested
Domain_specific_Heuristics,organising
Enumeration,organising
Multiple_Repairs,attested
Complete,organising
Single_Repair,attested
Order,organising
Opaque,attested
Pre_defined,attested
Parametrizable,organising
Operation_Costs,attested
Model_Weights,organising
Area_Selection,attested
Meta_model_Weights,organising
Constraint_Priorities,attested
Meta_data,organising
Interactive,attested
Representation,organising
State_representation,organising
Operation_based,attested
Repair_Form,organising
Repair_Action,attested
Repair_Plan,attested
Operation_Level,organising
Concrete,attested
Abstract,attested
Edit_Operations,attested
Undefined,organising
Fixed,attested
Customizable,attested
Semantics,organising
Totality,attested
Correctness,organising
Well_behaved,attested
Consistency_Improving,attested
Fully_Consistent,attested
Stability,attested
Least_change,attested
