gt_feature_id,partition
Model_Management,organising
Model_Federation,organising
Structural,organising
Artefacts,organising
Domain,organising
X_Domain,attested
CPS_Domain,attested
CriticalInfrastructure,organising
BuildingAutomation,organising
SmartManufacturing,organising
Transportation,organising
Defense,organising
Health,organising
EmergencyResponse,organising
ProcessControl,organising
RoboticForService,organising
TechSpace,organising
EMOF,attested
Ecore,attested
Ad_hoc_Internal_TechSpace,organising
Formalism,organising
AutomataBased,organising
AbstractStateMachines,organising
CellularAutomata,organising
HybridAutomataBased,organising
HybridAutomata,organising
IOHybridAutomata,organising
LinearHybridAutomata,organising
NonLinearHybridAutomata,organising
StochasticHybridAutomata,organising
TimedAutomata,organising
ProbabilisticTimedAutomata,organising
StochasticTimedAutomata,organising
IOTimedAutomata,organising
PetriNetBased,organising
HighLevelPetriNet,organising
PetriNet,organising
PriorityPetriNet,organising
StochasticPetriNet,organising
TimedPetriNet,organising
LogicBased,organising
FirstOrderLogic,organising
TemporalLogic,organising
LinearTemporalLogic,organising
ComputationTreeLogic,organising
Hennessy_MilnerLogic,organising
FlowBased,organising
DataFlow,organising
HybridFlow,organising
NewFeature,organising
ComplexNetworks,organising
BayesianNetworks,organising
BondGraphs,organising
CausalBlockDiagram,organising
Formalism_Agnostic,attested
X_Formalism,organising
DifferentialEquations,organising
DiscontinuousSystems,organising
DiscreteEvent,organising
ElectricalLinearNetworks,organising
EntityRelationship,organising
FaultTrees,organising
MarkovChains,organising
ProcessAlgebras,organising
TimedFailurePropagationGraph,organising
ViennaDevelopmentMethod,organising
Serialisation,organising
Serialisation_Agnostic,attested
DomainSpecific,organising
General,organising
XMI_XML,attested
RDF,organising
JSON,organising
Links,organising
Arity,organising
Binary,attested
N_ary,attested
Granularity,organising
Element,organising
Reference,attested
Content,attested
Model,attested
Specification,organising
Manual_Specification,attested
Semi_automated_Specification,organising
Persistence,attested
Semantics,organising
Decomposable,attested
Links_Typology,attested
ConformsTo,organising
DecomposedIn,organising
TracedTo,organising
ElementOf,organising
RepresentationOf,organising
TransformedIn,organising
X_Type,attested
Meta_model,attested
MixedLevel,organising
Federation,organising
Process,organising
Reified,organising
Explicit,attested
Implicit,attested
Operational,organising
Location,organising
External,attested
OnLinks,attested
InFederation,attested
Operations_Typology,organising
Query,organising
Represent,organising
Constrain,organising
V_and_V,organising
Synchronise,attested
X_Operation,attested
Trigger,organising
Manual_Trigger,attested
Reactive_Trigger,attested
ExecutionMode,organising
FullRebuild,attested
Incremental,attested
Intentional,organising
CrossDomainAnalysis,attested
ModelComposition,attested
Traceability,attested
ModelConsistencyChecking_Repair,attested
UnifiedTransformationManagement,attested
ArtefactCodesign,attested
ReverseEngineering,attested
X_Intention,organising
